idx,doc_id,senti_score_assets,senti_score_economy,senti_score_expenses,senti_score_govt policy,senti_score_industry,senti_score_innovation,senti_score_liquidity,senti_score_margins,senti_score_merges_acquisitions,senti_score_negative indicators,senti_score_positive indicators,indicators_ratio,senti_score_pricing,senti_score_product portfolio,senti_score_ratio,senti_score_recent trends,senti_score_recognition_awards,senti_score_revenue,senti_score_stocks,company,BSE_Code,Release_Date,BSE_Code_Yr,id,yr,Base_Price,one_mnthcp,six_mnthcp,one_yearcp,one_mnthcpchngper,six_mnthcpchngper,one_yearcpchngper,y_target,y_segment,y_target1,y_target6,y_target12
0,D:\Danny\DATA_text\ABB\5000021210.txt,2,1.333333333,0.333333333,1.8,1.75,4,1,1.5,2,2,3,1.5,2,1.5,5,2,3,2,2,ABB,500002,1/12/2010,500002_2010,500002,2010,794.75,832.3,777,663.65,4.7,-2.2,-16.5,6.701530298,6to7,5.041487758,4.995860009,4.894101478
1,D:\Danny\DATA_text\ABB\5000021211.txt,1.666666667,2.5,0.333333333,4.5,3.75,12,4,6,12,7,6,0.857142857,5,2.75,8,2,5,5,2,ABB,500002,1/12/2011,500002_2011,500002,2011,663.65,814.15,835.35,822.35,22.7,25.9,23.9,6.879715822,6to7,5.151555985,5.169915652,5.158480421
2,D:\Danny\DATA_text\ABB\5000021212.txt,2,2.5,1,3.75,1,4,3,1,4,1.666666667,3,1.8,3,3,12,1,4,2,3,ABB,500002,1/12/2012,500002_2012,500002,2012,822.35,829.45,715.35,570.85,0.9,-13,-30.6,6.580431071,6to7,5.016617366,4.919980926,4.782479201
3,D:\Danny\DATA_text\ABB\5000021213.txt,6,2.5,0.5,4.166666667,2.333333333,5,2,3,5,1.5,5,3.333333333,2,5,8,0.333333333,3,0.333333333,1,ABB,500002,1/12/2013,500002_2013,500002,2013,570.85,474.9,449.9,716.25,-16.8,-21.2,25.5,6.764173551,6to7,4.891851758,4.858260814,5.167639043
4,D:\Danny\DATA_text\ABB\5000021214.txt,5,2,0.5,4,4.666666667,8,4,1,7,1.5,3,2,1.5,5,8.5,1.5,11,1,2,ABB,500002,1/12/2014,500002_2014,500002,2014,716.25,814.05,982.65,1395.2,13.7,37.2,94.8,7.342908631,7to8,5.098035484,5.232177564,5.500441551
5,D:\Danny\DATA_text\ABB\5000021215.txt,3,2.25,0.25,4.5,2.5,3.333333333,1,1,5,1.5,10,6.666666667,2,3.25,2.666666667,9,6,0.666666667,3,ABB,500002,1/12/2015,500002_2015,500002,2015,1395.2,1393.65,1226.9,1118.1,-0.1,-12.1,-19.9,7.145274996,7to8,5.009968405,4.926528785,4.868303386
6,D:\Danny\DATA_text\ACC\5004101210.txt,1,4,0.333333333,4.4,12,4.666666667,3,1.5,2.5,4,5,1.25,5,3,18,7,7,2,1.5,ACC,500410,1/12/2010,500410_2010,500410,2010,922.95,937.5,871.8,971.05,1.6,-5.5,5.2,7.022021025,7to8,5.021245473,4.973279508,5.044714608
7,D:\Danny\DATA_text\ACC\5004101211.txt,1.5,7,1,11,8,3.25,9,3,1,7,3,0.428571429,9,5,15,3,8,3,1,ACC,500410,1/12/2011,500410_2011,500410,2011,971.05,1111.25,1002.55,1287.25,14.4,3.2,32.6,7.270486845,7to8,5.102302483,5.031744257,5.207297968
8,D:\Danny\DATA_text\ACC\5004101212.txt,1.5,9,1,5.6,5,3,8,0.75,0.333333333,3.333333333,6,1.8,4.333333333,10,9,8,10,4,1,ACC,500410,1/12/2012,500410_2012,500410,2012,1287.25,1259.65,1312.45,1271.1,-2.1,2,-1.3,7.259186499,7to8,4.99653637,5.023880521,5.001930853
9,D:\Danny\DATA_text\ACC\5004101213.txt,1,5,1,7.5,7,2.166666667,8,0.5,1.5,4,5,1.25,4.666666667,8,6.666666667,2.5,5.5,7,0.666666667,ACC,500410,1/12/2013,500410_2013,500410,2013,1271.1,1138.95,961.8,1103.45,-10.4,-24.3,-13.2,7.133655028,7to8,4.93878119,4.833898116,4.918520005
