idx,id,yr,binned_senti_score_assets,binned_senti_score_economy,binned_senti_score_expenses,binned_senti_score_govt.policy,binned_senti_score_industry,binned_senti_score_innovation,binned_senti_score_liquidity,binned_senti_score_margins,binned_senti_score_merges_acquisitions,binned_indicators_ratio,binned_senti_score_pricing,binned_senti_score_product.portfolio,binned_senti_score_ratio,binned_senti_score_recent.trends,binned_senti_score_recognition_awards,binned_senti_score_revenue,binned_senti_score_stocks,binned_y_target1,binned_y_target6,binned_y_target12
0,500002,2010,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
1,500002,2011,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(10,15]","(0,5]","(5,10]","(10,15]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
2,500002,2012,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(10,15]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
3,500002,2013,"(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
4,500002,2014,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(10,15]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
5,500002,2015,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(5,10]","(5,10]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
6,500410,2010,"(0,5]","(0,5]","(0,5]","(0,5]","(10,15]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(15,20]","(5,10]","(5,10]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
7,500410,2011,"(0,5]","(5,10]","(0,5]","(10,15]","(5,10]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(10,15]","(0,5]","(5,10]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
8,500410,2012,"(0,5]","(5,10]","(0,5]","(5,10]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(5,10]","(5,10]","(5,10]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
9,500410,2013,"(0,5]","(0,5]","(0,5]","(5,10]","(5,10]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(5,10]","(0,5]","(5,10]","(5,10]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
10,500410,2014,"(0,5]","(0,5]","(0,5]","(15,20]","(10,15]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]",NA,NA,"(0,5]","(5,10]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
11,500410,2015,"(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
12,532762,2010,"(5,10]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
13,532762,2011,"(0,5]","(0,5]","(0,5]","(0,5]","(10,15]","(5,10]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]",NA,"(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
14,532762,2013,"(0,5]","(5,10]","(0,5]","(0,5]","(5,10]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
15,532762,2014,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
16,532762,2015,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
